"id","scheme","scheme_type","value","year","estimate_type"
1988,"Space Applications","Major Central Sector Schemes",1559.0,"2023-2024","Budget"
1989,"INSAT Satellite Systems","Major Central Sector Schemes",531.0,"2023-2024","Budget"
1990,"Member of Parliament Local Area Development Scheme (MPLAD)","Major Central Sector Schemes",3959.0,"2023-2024","Budget"
1991,"Amended Technology Upgradation Fund Scheme(ATUFS)","Major Central Sector Schemes",900.0,"2023-2024","Budget"
1992,"Central Silk Board","Major Central Sector Schemes",918.0,"2023-2024","Budget"
1993,"Integrated Development of Tourist Circuits around specific themes (Swadesh Darshan)","Major Central Sector Schemes",1412.0,"2023-2024","Budget"
1994,"Eklavya Model Residential School (EMRS)","Major Central Sector Schemes",5943.0,"2023-2024","Budget"
1995,"National Tribal Welfare Program","Major Central Sector Schemes",655.0,"2023-2024","Budget"
1996,"Khelo India","Major Central Sector Schemes",1000.0,"2023-2024","Budget"
1997,"Mahatma Gandhi National Rural Employment Guarantee Program","Core of the Core Schemes",111170.0,"2020-2021","Actual"
1998,"National Social Assistance Program","Core of the Core Schemes",42443.0,"2020-2021","Actual"
1999,"Umbrella Programme for Development of Minorities","Core of the Core Schemes",1298.0,"2020-2021","Actual"
2000,"Umbrella Programme for Development of Other Vulnerable Groups","Core of the Core Schemes",1671.0,"2020-2021","Actual"
2001,"Umbrella Programme for Development of Scheduled Tribes","Core of the Core Schemes",3172.0,"2020-2021","Actual"
2002,"Umbrella Scheme for Development of Scheduled Castes","Core of the Core Schemes",5876.0,"2020-2021","Actual"
2003,"Prime Minister Jan Aarogya Yojana(by subsuming RSBY)","Core Schemes",2681.0,"2020-2021","Actual"
2004,"Blue Revolution","Core Schemes",709.0,"2020-2021","Actual"
2005,"Border Area Development Programme","Core Schemes",64.0,"2020-2021","Actual"
2006,"Environment, Forestry and Wildlife","Core Schemes",552.0,"2020-2021","Actual"
2007,"Green Revolution","Core Schemes",9748.0,"2020-2021","Actual"
2008,"Infrastructure Facilities for Judiciary","Core Schemes",599.0,"2020-2021","Actual"
2009,"Jal Jeevan Mission (JJM)/National Rural Drinking Water Mission","Core Schemes",10998.0,"2020-2021","Actual"
2010,"Jobs and Skill Development","Core Schemes",3682.0,"2020-2021","Actual"
2011,"Modernisation of Police Forces","Core Schemes",2057.0,"2020-2021","Actual"
2012,"National Education Mission","Core Schemes",28088.0,"2020-2021","Actual"
2013,"National Health Mission","Core Schemes",37478.0,"2020-2021","Actual"
2014,"National Livelihood Mission - Ajeevika","Core Schemes",10025.0,"2020-2021","Actual"
2015,"National Programme of Mid Day Meal in Schools","Core Schemes",12878.0,"2020-2021","Actual"
2016,"Pradhan Mantri Awas Yojna (PMAY)","Core Schemes",40260.0,"2020-2021","Actual"
2017,"Pradhan Mantri Gram Sadak Yojna","Core Schemes",13688.0,"2020-2021","Actual"
2018,"Pradhan Mantri Krishi Sinchai Yojna","Core Schemes",7877.0,"2020-2021","Actual"
2019,"Rashtriya Gram Swaraj Abhiyan (RGSA)","Core Schemes",567.0,"2020-2021","Actual"
2020,"Shyama Prasad Mukherjee Rurban Mission","Core Schemes",369.0,"2020-2021","Actual"
2021,"Swachh Bharat Mission","Core Schemes",995.0,"2020-2021","Actual"
2022,"Swachh Bharat Mission (Gramin)","Core Schemes",4945.0,"2020-2021","Actual"
2023,"Urban Rejuvenation Mission: AMRUT and Smart Cities Mission","Core Schemes",9754.0,"2020-2021","Actual"
2024,"ASPIRE (Accelerating State Education Program to Improve Results)","Core Schemes","","2020-2021","Actual"
2025,"Development Programmes","Core Schemes","","2020-2021","Actual"
2026,"Exemplar","Core Schemes","","2020-2021","Actual"
2027,"India COVID-19 Emergency Response and Health System Preparedness Package(Phase-II) (DBS) (CSS)","Core Schemes","","2020-2021","Actual"
2028,"Krishionnati Yojana","Core Schemes","","2020-2021","Actual"
2029,"Mission Shakti (Mission for Protection and Empowerment for Women)","Core Schemes","","2020-2021","Actual"
2030,"Mission VATSALYA (Child Protection Services and Child Welfare Services)","Core Schemes","","2020-2021","Actual"
2031,"Pradhan Mantri Ayushman Bharat Health Infrastructure Mission (PMABHIM)","Core Schemes","","2020-2021","Actual"
2032,"Pradhan Mantri Poshan Shakti Nirman (PM POSHAN)","Core Schemes","","2020-2021","Actual"
2033,"Prime Minister Formalisation of Micro Food Processing Enterprises Scheme (PM FME)","Core Schemes",395.0,"2020-2021","Actual"
2034,"Rashtriya Krishi Vikas Yojna","Core Schemes","","2020-2021","Actual"
2035,"Revision of norms for Central Assistance released to States/ UTs for meeting expenditure on intra-state movement, handling of foodgrains and FPS dealers margin under NFSA","Core Schemes","","2020-2021","Actual"
2036,"Saksham Anganwadi and POSHAN 2.0 (Umbrella ICDS - Anganwadi Services, Poshan Abhiyan, Scheme for Adolescent Girls)","Core Schemes","","2020-2021","Actual"
2037,"Strengthening Teaching-Learning and Results for States (STARS)","Core Schemes",92.0,"2020-2021","Actual"
2038,"Market Intervention Scheme and Price Support Scheme (MIS-PSS)","Major Central Sector Schemes",1358.0,"2020-2021","Actual"
2039,"Pradhan Mantri Kisan Samman Nidhi (PM-Kisan)","Major Central Sector Schemes",60990.0,"2020-2021","Actual"
2040,"Crop Insurance Scheme","Major Central Sector Schemes",14161.0,"2020-2021","Actual"
2041,"Modified Interest Subvention Scheme (MISS)","Major Central Sector Schemes","","2020-2021","Actual"
2042,"Crop Science","Major Central Sector Schemes",593.0,"2020-2021","Actual"
2043,"R&D projects of Bhabha Atomic Research Centre (BARC)","Major Central Sector Schemes","","2020-2021","Actual"
2044,"Urea Subsidy","Major Central Sector Schemes",90549.0,"2020-2021","Actual"
2045,"Nutrient Based Subsidy","Major Central Sector Schemes",37372.0,"2020-2021","Actual"
2046,"Production Linked Incentive Schemes","Major Central Sector Schemes","","2020-2021","Actual"
2047,"Regional Connectivity Scheme","Major Central Sector Schemes",700.0,"2020-2021","Actual"
2048,"Interest Equalisation Scheme","Major Central Sector Schemes",1667.0,"2020-2021","Actual"
2049,"Refund of Central and Integrated GST to Industrial Units in North Eastern Region and Himalayan States","Major Central Sector Schemes",2716.0,"2020-2021","Actual"
2050,"National Industrial Corridor Development and Implementation Trust (NICDIT)","Major Central Sector Schemes",2600.0,"2020-2021","Actual"
2051,"Fund of Funds","Major Central Sector Schemes",430.0,"2020-2021","Actual"
2052,"Postal Operation","Major Central Sector Schemes",980.0,"2020-2021","Actual"
2053,"Compensation to Service Providers for creation and augmentation of telecom infrastructure","Major Central Sector Schemes",7200.0,"2020-2021","Actual"
2054,"Optical Fibre Cable based network for Defence Services","Major Central Sector Schemes",4000.0,"2020-2021","Actual"
2055,"Production Linked Incentive (PLI) Scheme to Promote Telecom and Networking Products Manufacturing in India","Major Central Sector Schemes","","2020-2021","Actual"
2056,"Price Stabilisation Fund","Major Central Sector Schemes",11135.0,"2020-2021","Actual"
2057,"Food Subsidy to Food Corporation of India under National Food Security Act.","Major Central Sector Schemes",462789.0,"2020-2021","Actual"
2058,"Food Subsidy for Decentralized Procurement of Foodgrains under NFSA","Major Central Sector Schemes",78338.0,"2020-2021","Actual"
2059,"Schemes of North East Council","Major Central Sector Schemes",379.0,"2020-2021","Actual"
2060,"North East Special Infrastructure Development Scheme (NESIDS)","Major Central Sector Schemes",446.0,"2020-2021","Actual"
2061,"Deep Ocean Mission (DOM)","Major Central Sector Schemes","","2020-2021","Actual"
2062,"Interest Subsidy and contribution for Guarantee Funds","Major Central Sector Schemes",1477.0,"2020-2021","Actual"
2063,"World Class Institutions","Major Central Sector Schemes",1016.0,"2020-2021","Actual"
2064,"Electronic Governance","Major Central Sector Schemes",405.0,"2020-2021","Actual"
2065,"National Knowledge Network","Major Central Sector Schemes",584.0,"2020-2021","Actual"
2066,"Promotion of Electronics and IT HW Manufacturing (MSIPS, EDF and Manufacturing Clusters)","Major Central Sector Schemes",479.0,"2020-2021","Actual"
2067,"R and D in IT/Electronics/CCBT","Major Central Sector Schemes",421.0,"2020-2021","Actual"
2068,"PLI for Large Scale Electronics and IT Hardware","Major Central Sector Schemes","","2020-2021","Actual"
2069,"National Investment and Infrastructure Fund (NIIF)","Major Central Sector Schemes",3570.0,"2020-2021","Actual"
2070,"Lines of Credit under Indian Development and Economic Assistance Scheme (IDEAS)","Major Central Sector Schemes","","2020-2021","Actual"
2071,"Recapitalization of Regional Rural Banks (RRBs)","Major Central Sector Schemes",200.0,"2020-2021","Actual"
2072,"Subscription to the Share Capital of Export-Import Bank of India","Major Central Sector Schemes",1300.0,"2020-2021","Actual"
2073,"Livestock Health and Disease Control Programme","Major Central Sector Schemes","","2020-2021","Actual"
2074,"Pradhan Mantri Kisan Sampada Yojana","Major Central Sector Schemes",667.0,"2020-2021","Actual"
2075,"Production-Linked Incentive Scheme for Food Processing Industry","Major Central Sector Schemes","","2020-2021","Actual"
2076,"National AIDS and STD Control Programme","Major Central Sector Schemes",2815.0,"2020-2021","Actual"
2077,"Pardhan Mantri Swasthya Suraksha Yojana","Major Central Sector Schemes",6840.0,"2020-2021","Actual"
2078,"Pradhan Mantri Ayushman Bharat Health Infrastructure Mission (PMABHIM)","Major Central Sector Schemes","","2020-2021","Actual"
2079,"Prime Minister's Ayushman Bharat Health Infrastructure Mission (PM-ABHIM)-Bio Security Preparedness and strengthening Pandemic Research and Multi Sector and National Institutions and Platform for One Health","Major Central Sector Schemes","","2020-2021","Actual"
2080,"Scheme for Faster Adoption and Manufacturing of (Hybrid and) Electric Vehicle in India - (FAME - India).","Major Central Sector Schemes",318.0,"2020-2021","Actual"
2081,"Freedom Fighters (pension and other benefits)","Major Central Sector Schemes",661.0,"2020-2021","Actual"
2082,"Border Infrastructure and Management","Major Central Sector Schemes",1534.0,"2020-2021","Actual"
2083,"Police Infrastructure","Major Central Sector Schemes",1951.0,"2020-2021","Actual"
2084,"Inter Operable Criminal Justice System","Major Central Sector Schemes","","2020-2021","Actual"
2085,"Residential","Major Central Sector Schemes",1506.0,"2020-2021","Actual"
2086,"Non-residential","Major Central Sector Schemes",1849.0,"2020-2021","Actual"
2087,"Metro Projects","Major Central Sector Schemes",8573.0,"2020-2021","Actual"
2088,"National Capital Region Transport Corporation","Major Central Sector Schemes",398.0,"2020-2021","Actual"
2089,"National Hydrology Project","Major Central Sector Schemes",134.0,"2020-2021","Actual"
2090,"National Ganga Plan","Major Central Sector Schemes","","2020-2021","Actual"
2091,"Atal Bhujal Yojna","Major Central Sector Schemes","","2020-2021","Actual"
2092,"Employees Pension Scheme, 1995","Major Central Sector Schemes",7519.0,"2020-2021","Actual"
2093,"Aatmanirbhar Bharat Rojgar Yojana","Major Central Sector Schemes",405.0,"2020-2021","Actual"
2094,"Prime Minister Employment Generation Programme (PMEGP)","Major Central Sector Schemes",1906.0,"2020-2021","Actual"
2095,"Guarantee Emergency Credit Line (GECL) facility to eligible MSME borrowers","Major Central Sector Schemes","","2020-2021","Actual"
2096,"Raising and Accelerating MSME Performance - RAMP","Major Central Sector Schemes","","2020-2021","Actual"
2097,"Infrastructure Development and Capacity Building","Major Central Sector Schemes","","2020-2021","Actual"
2098,"Khadi Gramodyog Vikas Yojana","Major Central Sector Schemes","","2020-2021","Actual"
2099,"Education Empowerment","Major Central Sector Schemes",2351.0,"2020-2021","Actual"
2100,"Solar Power (Grid)","Major Central Sector Schemes","","2020-2021","Actual"
2101,"Kisan Urja Suraksha evam Utthaan Mahabhiyan(KUSUM)","Major Central Sector Schemes","","2020-2021","Actual"
2102,"Wind Power (Grid)","Major Central Sector Schemes","","2020-2021","Actual"
2103,"Indian Strategic Petroleum Reserve Limited (ISPRL) Phase II (Construction of Cavems)","Major Central Sector Schemes","","2020-2021","Actual"
2104,"Direct Benefit Transfer - LPG","Major Central Sector Schemes",23667.0,"2020-2021","Actual"
2105,"LPG Connection to Poor Households","Major Central Sector Schemes",9235.0,"2020-2021","Actual"
2106,"Other subsidy payable including for North Eastern Region","Major Central Sector Schemes",495.0,"2020-2021","Actual"
2107,"Indradhanush Gas Grid Limited(IGGL)-part of the North East Natural Gas Pipeline Grid","Major Central Sector Schemes",180.0,"2020-2021","Actual"
2108,"Strengthening of Power Systems","Major Central Sector Schemes",816.0,"2020-2021","Actual"
2109,"Power System Development Fund","Major Central Sector Schemes",821.0,"2020-2021","Actual"
2110,"Reform Linked Distribution Scheme","Major Central Sector Schemes","","2020-2021","Actual"
2111,"Road Works","Major Central Sector Schemes",53093.0,"2020-2021","Actual"
2112,"National Highways Authority of India","Major Central Sector Schemes",46062.0,"2020-2021","Actual"
2113,"Science and Technology Institutional and Human Capacity Building","Major Central Sector Schemes",893.0,"2020-2021","Actual"
2114,"Research and Development","Major Central Sector Schemes",396.0,"2020-2021","Actual"
2115,"Innovation, Technology Development and Deployment","Major Central Sector Schemes",630.0,"2020-2021","Actual"
2116,"Biotechnology Research and Development","Major Central Sector Schemes",1287.0,"2020-2021","Actual"
2117,"Space Technology","Major Central Sector Schemes",6557.0,"2020-2021","Actual"
2118,"Space Applications","Major Central Sector Schemes",1170.0,"2020-2021","Actual"
2119,"Member of Parliament Local Area Development Scheme (MPLAD)","Major Central Sector Schemes",1108.0,"2020-2021","Actual"
2120,"Capacity Development (CD)","Major Central Sector Schemes",647.0,"2020-2021","Actual"
2121,"Procurement of Cotton by Cotton Corporation under Price Support Scheme","Major Central Sector Schemes",663.0,"2020-2021","Actual"
2122,"Amended Technology Upgradation Fund Scheme(ATUFS)","Major Central Sector Schemes",556.0,"2020-2021","Actual"
2123,"Central Silk Board","Major Central Sector Schemes",650.0,"2020-2021","Actual"
2124,"Integrated Development of Tourist Circuits around specific themes (Swadesh Darshan)","Major Central Sector Schemes",561.0,"2020-2021","Actual"
2125,"Eklavya Model Residential School (EMRS)","Major Central Sector Schemes","","2020-2021","Actual"
2126,"Khelo India","Major Central Sector Schemes",338.0,"2020-2021","Actual"
2127,"Prime Minister Jan Aarogya Yojana(by subsuming RSBY)","Core Schemes",6401.0,"2021-2022","Budget"
2128,"ASPIRE (Accelerating State Education Program to Improve Results)","Core Schemes","","2021-2022","Budget"
2129,"Development Programmes","Core Schemes",1177.0,"2021-2022","Budget"
2130,"Exemplar","Core Schemes","","2021-2022","Budget"
2131,"India COVID-19 Emergency Response and Health System Preparedness Package(Phase-II) (DBS) (CSS)","Core Schemes","","2021-2022","Budget"
